BH.Q	ADJ.P	PER	LAG	AMP
Bmi1	0.201394638546444	0.0145769136180113	24	6	1.11693787100719
Rpl4	0.201394638546444	0.0145769136180113	20	16	1.10270899395572
Ddah1	0.201394638546444	0.0145769136180113	20	16	1.09666341301779
Pias4	0.201394638546444	0.0145769136180113	20	18	1.07200111987744
Gse1	0.201394638546444	0.0145769136180113	20	18	1.03131071883771
Grb14	0.201394638546444	0.0145769136180113	20	16	1.02250794630505
Polr1f	0.201394638546444	0.0145769136180113	24	18	1.0216076909163
Clasp1	0.201394638546444	0.0145769136180113	20	16	1.02144433635108
Osbpl8	0.201394638546444	0.0145769136180113	20	4	0.987640751916636
Nr1i3	0.201394638546444	0.0145769136180113	20	18	0.939459410857544
Wdr75	0.201394638546444	0.0145769136180113	20	16	0.933488793874274
Mecr	0.201394638546444	0.0145769136180113	24	2	0.922324779661725
Ca5a	0.201394638546444	0.0145769136180113	20	18	0.917813731287499
Gabpb1	0.201394638546444	0.0145769136180113	20	18	0.913211536232129
Cma1	0.201394638546444	0.0145769136180113	20	2	0.911977865966955
Rnf139	0.201394638546444	0.0145769136180113	24	4	0.897069252343779
Unc119b	0.201394638546444	0.0145769136180113	20	16	0.883003357372864
Kyat3	0.201394638546444	0.0145769136180113	24	22	0.870575585882516
Eif3e	0.201394638546444	0.0145769136180113	20	16	0.856368993301017
Tfrc	0.201394638546444	0.0145769136180113	20	6	0.851976408832697
Jam2	0.201394638546444	0.0145769136180113	20	2	0.832418658803808
Prkar1a	0.201394638546444	0.0145769136180113	20	16	0.826639648293453
Unknown_10	0.201394638546444	0.0145769136180113	20	18	0.800422915655524
Nab1	0.201394638546444	0.0145769136180113	20	18	0.760078961379114
Lamb2	0.201394638546444	0.0145769136180113	24	22	0.734311319814894
Sbno2	0.201394638546444	0.0145769136180113	20	18	0.707095265629313
Ddx50	0.201394638546444	0.0145769136180113	24	12	0.687766431907481
Elovl5	0.201394638546444	0.0145769136180113	24	6	0.635447666189186
Palmd	0.201394638546444	0.0145769136180113	24	22	0.613122099855677
Rps6	0.201394638546444	0.0145769136180113	22	0.183333333333332	0.611399101368168
Akr1a1	0.201394638546444	0.0145769136180113	20	2	0.600685770066181
Spast	0.201394638546444	0.0145769136180113	20	0	0.528256950586125
Gid8	0.201394638546444	0.0145769136180113	24	20	0.522118233379176
Fads1	0.201394638546444	0.0145769136180113	24	8	0.490576298237935
Edem1	0.201394638546444	0.0145769136180113	24	5	0.489526313683171
Golm1	0.201394638546444	0.0145769136180113	20	2	0.488975704803696
Cavin1	0.201394638546444	0.0145769136180113	20	0	0.477384419631536
Nifk	0.201394638546444	0.0145769136180113	24	20	0.466792880218175
Znf740	0.201394638546444	0.0145769136180113	24	6	0.459300405066887
Slirp	0.201394638546444	0.0145769136180113	20	0	0.436109367029109
Pole3	0.201394638546444	0.0145769136180113	24	2	0.419193583883506
Max	0.201394638546444	0.0145769136180113	20	16	0.415552637923998
